epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0412,1.38564,3.02173,1.79213,0.86958,0.47488,0.44539,0.30159,1.75364,2.29662,1.44037,0.000554669,0.000554669,0.000554669
2,133.423,1.1828,1.86102,1.63921,0.21493,0.38999,0.17737,0.07427,2.68822,2.90627,1.85419,0.0010966,0.0010966,0.0010966
3,177.699,1.0802,1.74326,1.55746,0,0,0,0,2.40466,2.62278,1.92909,0.00162477,0.00162477,0.00162477
4,221.677,1.01978,1.67289,1.52731,0.35578,0.63001,0.45358,0.32174,1.64178,2.02318,1.24886,0.00160511,0.00160511,0.00160511
5,266.032,0.95256,1.63512,1.4754,0.48445,0.69339,0.43623,0.34177,1.45768,1.96136,1.19432,0.00158448,0.00158448,0.00158448
6,310.166,0.90024,1.57846,1.43678,0.37501,0.47367,0.32897,0.12551,1.73159,3.28226,1.30451,0.00156385,0.00156385,0.00156385
7,355.579,0.86459,1.52661,1.40748,0.39534,0.52103,0.34984,0.25052,1.62019,2.32192,1.23923,0.00154323,0.00154323,0.00154323
8,402.793,0.82094,1.48115,1.38574,0.4935,0.71486,0.446,0.35609,1.42399,1.74366,0.94911,0.0015226,0.0015226,0.0015226
9,447.148,0.83519,1.51557,1.39195,0.50228,0.7123,0.45694,0.36491,1.32333,1.86088,0.96604,0.00150197,0.00150197,0.00150197
10,490.73,0.79045,1.44773,1.35416,0.47264,0.55616,0.40966,0.28568,1.58118,2.12312,1.15984,0.00148134,0.00148134,0.00148134
11,533.967,0.7707,1.42834,1.35419,0.48887,0.70479,0.44765,0.35784,1.32455,1.80262,0.94703,0.00146071,0.00146071,0.00146071
12,579.035,0.75123,1.39896,1.33311,0.41572,0.63576,0.42092,0.33587,1.39043,1.89825,0.92171,0.00144008,0.00144008,0.00144008
13,624.104,0.71385,1.35683,1.29878,0.49941,0.69563,0.45689,0.40884,1.20724,1.67778,0.88313,0.00141945,0.00141945,0.00141945
14,667.89,0.71234,1.35449,1.30792,0.48976,0.60063,0.41615,0.32995,1.35123,1.96763,0.97453,0.00139882,0.00139882,0.00139882
15,711.426,0.69448,1.33363,1.2873,0.49421,0.71137,0.46233,0.40473,1.21942,1.70377,0.86509,0.00137819,0.00137819,0.00137819
16,755.165,0.6834,1.32852,1.26691,0.50718,0.70936,0.47067,0.41865,1.19101,1.67758,0.84491,0.00135756,0.00135756,0.00135756
17,798.897,0.6937,1.32053,1.27573,0.38518,0.54526,0.37437,0.30133,1.35079,2.22833,0.93697,0.00133693,0.00133693,0.00133693
18,842.852,0.69505,1.31372,1.28616,0.48531,0.70387,0.43913,0.36443,1.26708,1.7566,0.90161,0.0013163,0.0013163,0.0013163
19,886.586,0.66036,1.26972,1.25812,0.46316,0.71715,0.48103,0.4293,1.19933,1.63263,0.8662,0.00129568,0.00129568,0.00129568
20,930.455,0.68498,1.30479,1.27596,0.46463,0.62259,0.43405,0.37889,1.21665,1.82129,0.88898,0.00127505,0.00127505,0.00127505
21,973.905,0.66935,1.2848,1.27132,0.49293,0.69883,0.45139,0.39437,1.22428,1.71488,0.91301,0.00125442,0.00125442,0.00125442
22,1017.53,0.64899,1.24486,1.24266,0.49957,0.70844,0.46251,0.41397,1.17845,1.5896,0.85292,0.00123379,0.00123379,0.00123379
23,1061.16,0.63831,1.23721,1.24464,0.49539,0.7208,0.48514,0.41838,1.20185,1.65988,0.87853,0.00121316,0.00121316,0.00121316
24,1104.74,0.65814,1.25403,1.25784,0.40332,0.65324,0.43688,0.38345,1.19745,1.82063,0.89112,0.00119253,0.00119253,0.00119253
25,1148.96,0.64813,1.26205,1.2415,0.48925,0.71044,0.45726,0.40551,1.17902,1.64989,0.87249,0.0011719,0.0011719,0.0011719
26,1193.08,0.61149,1.19834,1.21673,0.78589,0.30814,0.32474,0.24541,1.35787,2.31047,0.92104,0.00115127,0.00115127,0.00115127
