epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.1717,0.68315,0.63166,1,0.69694,0.00028339,0.00028339,0.00028339
2,75.4655,0.70962,0.64107,1,0.64421,0.00056901,0.00056901,0.00056901
3,131.11,0.6937,0.61442,1,0.6709,0.000839776,0.000839776,0.000839776
4,187.456,0.69815,0.64107,1,3.55013,0.00109569,0.00109569,0.00109569
5,250.308,0.67673,0.52194,1,7.92448,0.00133675,0.00133675,0.00133675
6,282.868,0.67041,0.59404,1,0.79606,0.00146071,0.00146071,0.00146071
7,319.439,0.66101,0.66928,1,0.65918,0.00141945,0.00141945,0.00141945
8,353.101,0.66226,0.62696,1,0.65658,0.00137819,0.00137819,0.00137819
9,399.083,0.6533,0.6442,1,0.64274,0.00133693,0.00133693,0.00133693
10,435.913,0.64531,0.64734,1,0.62663,0.00129568,0.00129568,0.00129568
11,469.414,0.63237,0.67398,1,0.60889,0.00125442,0.00125442,0.00125442
12,503.487,0.63118,0.65987,1,0.62614,0.00121316,0.00121316,0.00121316
13,550.512,0.63036,0.67868,1,0.611,0.0011719,0.0011719,0.0011719
14,587.663,0.63222,0.64107,1,0.72917,0.00113064,0.00113064,0.00113064
15,624.034,0.65511,0.60972,1,0.75016,0.00108938,0.00108938,0.00108938
16,657.72,0.63976,0.62539,1,0.68864,0.00104813,0.00104813,0.00104813
17,700.923,0.63798,0.68025,1,0.60303,0.00100687,0.00100687,0.00100687
18,737.902,0.63024,0.63636,1,0.63965,0.00096561,0.00096561,0.00096561
19,776.165,0.62124,0.66614,1,0.62337,0.000924352,0.000924352,0.000924352
20,812.209,0.63316,0.61442,1,0.67708,0.000883093,0.000883093,0.000883093
21,850.878,0.63522,0.69279,1,0.61426,0.000841835,0.000841835,0.000841835
22,887.307,0.62863,0.67868,1,0.60417,0.000800577,0.000800577,0.000800577
23,927.858,0.618,0.66928,1,0.61849,0.000759318,0.000759318,0.000759318
24,961.015,0.61427,0.67555,1,0.64567,0.00071806,0.00071806,0.00071806
25,1003.69,0.61333,0.67241,1,0.61556,0.000676802,0.000676802,0.000676802
26,1037.62,0.60325,0.67241,1,0.62646,0.000635544,0.000635544,0.000635544
27,1074.06,0.61584,0.68966,1,0.61051,0.000594286,0.000594286,0.000594286
28,1106.72,0.6115,0.66928,1,0.61149,0.000553027,0.000553027,0.000553027
29,1150.09,0.61412,0.67241,1,0.65299,0.000511769,0.000511769,0.000511769
30,1182.86,0.60261,0.68966,1,0.62435,0.000470511,0.000470511,0.000470511
31,1256.51,0.60193,0.69122,1,0.59847,0.000429253,0.000429253,0.000429253
32,1296.93,0.60264,0.68495,1,0.62191,0.000387994,0.000387994,0.000387994
33,1331.85,0.60814,0.68025,1,0.6027,0.000346736,0.000346736,0.000346736
34,1366.01,0.6024,0.68182,1,0.58708,0.000305478,0.000305478,0.000305478
35,1410.48,0.59748,0.71317,1,0.59912,0.00026422,0.00026422,0.00026422
36,1447.45,0.59109,0.69749,1,0.5931,0.000222961,0.000222961,0.000222961
37,1483.75,0.58414,0.69592,1,0.59098,0.000181703,0.000181703,0.000181703
38,1520.14,0.58691,0.69122,1,0.60107,0.000140445,0.000140445,0.000140445
39,1563.75,0.5758,0.69749,1,0.60824,9.91865e-05,9.91865e-05,9.91865e-05
40,1600.86,0.58535,0.69436,1,0.58822,5.79283e-05,5.79283e-05,5.79283e-05
